system   D            wsystem.c:583  maybe_parent_dir                 [   0.14760] Also searching N:\msvcp\FGUI\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.14888] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.14926] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.15301] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.19153] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.19194] Allegro version: 5.0.7
display  I           wgl_disp.c:761  get_available_pixel_formats_ext  [   0.85822] Got 107 visuals.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.85874] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.85909] Decoding visual no. 1...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.85949] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.85983] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.86019] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.86056] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.86095] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.86134] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.86174] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.86208] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.86245] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.86282] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.86319] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.86356] Decoding visual no. 2...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.86396] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.86430] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.86466] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.86503] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.86540] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.86577] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.86614] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.86660] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.86699] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:458  _al_score_display_settings       [   0.86736] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.86774] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.86811] Decoding visual no. 3...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.86850] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.86885] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.86921] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.86958] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.86999] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.87035] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.87080] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.87116] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.87153] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:458  _al_score_display_settings       [   0.87191] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.87228] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.87264] Decoding visual no. 4...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.87304] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.87338] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.87378] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.87415] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.87452] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.87489] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.87525] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.87562] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.87599] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.87636] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.87678] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.87715] Decoding visual no. 5...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.87754] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.87789] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.87826] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.87862] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.87899] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.87936] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.87973] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.88010] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.88047] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:458  _al_score_display_settings       [   0.88084] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.88122] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.88158] Decoding visual no. 6...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.88198] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.88232] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.88269] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.88305] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.88342] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.88378] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.88415] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.88452] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.88489] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:458  _al_score_display_settings       [   0.88526] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.88563] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.88600] Decoding visual no. 7...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.88639] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.88678] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.88714] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.88751] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.88788] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.88825] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.88862] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.88899] Samples: 1
display  D   display_settings.c:191  debug_display_settings           [   0.88935] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.88973] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.89030] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.89068] Decoding visual no. 8...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.89109] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.89143] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.89179] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.89216] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.89253] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.89290] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.89326] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.89363] Samples: 1
